                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.78364,                 1.2909,                 1.2313,                0.42107,                 0.3441,                0.30742,                0.19299,                 1.5641,                 2.5612,                 1.9789,              0.0066835,              0.0066835,              0.0066835
                     69,                0.77807,                 1.2689,                 1.2305,                0.41517,                0.33019,                0.31476,                0.20084,                 1.6117,                 2.6449,                 2.0137,               0.006634,               0.006634,               0.006634
                     70,                0.77737,                 1.2776,                 1.2355,                0.37939,                0.36434,                0.33306,                0.21847,                 1.5483,                 2.5854,                 1.9612,              0.0065845,              0.0065845,              0.0065845
                     71,                0.77001,                 1.2724,                 1.2329,                0.41532,                0.34321,                0.32993,                0.21241,                 1.5789,                 2.6445,                 2.0301,               0.006535,               0.006535,               0.006535
                     72,                0.76844,                 1.2251,                 1.2278,                0.41637,                0.32695,                0.31991,                0.20318,                 1.6117,                 2.6952,                 2.0685,              0.0064855,              0.0064855,              0.0064855
                     73,                0.77184,                 1.2507,                 1.2338,                0.40274,                0.36467,                0.33423,                0.21925,                 1.6123,                 2.6154,                 2.0273,               0.006436,               0.006436,               0.006436
                     74,                0.76207,                  1.267,                 1.2228,                0.42054,                0.37582,                0.34343,                0.22682,                 1.5643,                 2.6036,                 1.9721,              0.0063865,              0.0063865,              0.0063865
                     75,                0.77129,                 1.2296,                 1.2259,                0.40973,                0.35804,                0.33386,                0.21478,                 1.5746,                 2.5849,                 2.0307,               0.006337,               0.006337,               0.006337
                     76,                0.75288,                 1.2189,                 1.2191,                  0.398,                0.33401,                0.32481,                0.20411,                 1.5395,                 2.5623,                 1.9765,              0.0062875,              0.0062875,              0.0062875
                     77,                0.76317,                 1.2247,                 1.2239,                0.37132,                0.41071,                0.34121,                0.21432,                 1.5621,                 2.5898,                 1.9948,               0.006238,               0.006238,               0.006238
                     78,                0.74232,                 1.2209,                 1.2127,                0.34898,                0.35845,                0.31947,                0.20896,                 1.5935,                 2.7284,                 2.0016,              0.0061885,              0.0061885,              0.0061885
                     79,                0.73596,                 1.1765,                 1.2024,                0.32774,                 0.3811,                0.31606,                0.20893,                 1.6012,                 2.6916,                 2.0739,               0.006139,               0.006139,               0.006139
                     80,                0.73567,                 1.1693,                 1.2014,                0.34009,                0.41643,                0.33279,                0.21808,                 1.5544,                 2.5761,                 2.0055,              0.0060895,              0.0060895,              0.0060895
                     81,                0.73719,                 1.1436,                 1.1938,                0.38756,                0.36895,                0.32936,                0.21959,                  1.544,                 2.5728,                  1.985,                0.00604,                0.00604,                0.00604
                     82,                0.74355,                 1.1774,                 1.2087,                0.37297,                0.34798,                0.30639,                0.20348,                 1.5939,                 2.6002,                 1.9999,              0.0059905,              0.0059905,              0.0059905
                     83,                0.72399,                 1.1614,                 1.2042,                0.33003,                0.33836,                0.31302,                0.20713,                 1.5816,                 2.7995,                 2.0088,               0.005941,               0.005941,               0.005941
                     84,                 0.7249,                 1.1591,                 1.1995,                0.40692,                0.33553,                0.31186,                0.20803,                 1.5595,                 2.7229,                  1.988,              0.0058915,              0.0058915,              0.0058915
                     85,                0.72037,                 1.1547,                 1.2005,                0.43723,                 0.3656,                 0.3474,                0.23875,                 1.5664,                 2.6646,                 1.9896,               0.005842,               0.005842,               0.005842
                     86,                0.72909,                 1.1456,                 1.2048,                0.33414,                0.37654,                0.32261,                0.21411,                 1.5902,                 2.7053,                 2.0314,              0.0057925,              0.0057925,              0.0057925
                     87,                0.72049,                 1.1468,                 1.1945,                0.34422,                0.36165,                0.32401,                0.21699,                 1.5606,                 2.7213,                 2.0089,               0.005743,               0.005743,               0.005743
                     88,                0.72355,                 1.1426,                 1.1985,                0.37549,                0.35904,                0.33534,                0.22762,                 1.5499,                 2.5964,                 1.9692,              0.0056935,              0.0056935,              0.0056935
                     89,                0.71973,                 1.1151,                 1.1919,                0.37971,                0.39728,                0.33883,                0.22641,                 1.5384,                 2.6588,                 1.9794,               0.005644,               0.005644,               0.005644
                     90,                0.71374,                 1.1048,                 1.1928,                0.41869,                0.35512,                0.34195,                 0.2247,                 1.5427,                 2.6573,                 1.9986,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.7291,                 1.1179,                 1.1972,                0.38723,                 0.3925,                 0.3363,                0.22029,                 1.5298,                 2.6549,                  1.993,               0.005545,               0.005545,               0.005545
                     92,                0.70435,                 1.0854,                 1.1809,                0.35811,                 0.4174,                0.34049,                0.22741,                 1.5638,                  2.689,                 2.0191,              0.0054955,              0.0054955,              0.0054955
                     93,                0.71228,                 1.0974,                 1.1971,                0.33503,                0.39646,                0.31993,                0.20798,                 1.5473,                 2.6818,                 1.9755,               0.005446,               0.005446,               0.005446
                     94,                0.69821,                 1.0806,                 1.1771,                0.35324,                0.36222,                0.33535,                0.22374,                 1.5582,                 2.7809,                 2.0093,              0.0053965,              0.0053965,              0.0053965
                     95,                0.69957,                 1.0818,                 1.1791,                0.36259,                 0.3923,                0.34013,                 0.2257,                 1.5287,                 2.6144,                 1.9577,               0.005347,               0.005347,               0.005347
                     96,                0.70066,                 1.0647,                 1.1737,                0.37712,                0.37072,                0.32778,                0.21546,                 1.5456,                 2.7286,                 1.9916,              0.0052975,              0.0052975,              0.0052975
                     97,                0.70484,                 1.0811,                 1.1777,                 0.3831,                0.35403,                0.32782,                0.21515,                 1.5324,                 2.7182,                 1.9425,               0.005248,               0.005248,               0.005248
                     98,                0.69422,                 1.0587,                 1.1723,                0.33369,                0.39978,                0.32812,                0.21528,                 1.5421,                 2.7649,                 1.9663,              0.0051985,              0.0051985,              0.0051985
                     99,                0.68879,                 1.0277,                 1.1674,                0.42532,                0.35157,                0.34215,                0.23045,                 1.5641,                  2.648,                 1.9953,               0.005149,               0.005149,               0.005149
                    100,                0.68301,                  1.031,                  1.168,                0.38613,                0.38156,                0.34109,                0.23324,                 1.5511,                 2.7588,                 2.0061,              0.0050995,              0.0050995,              0.0050995
                    101,                  0.691,                 1.0377,                 1.1752,                0.43566,                0.35263,                0.32987,                0.22154,                 1.5356,                 2.6802,                 1.9833,                0.00505,                0.00505,                0.00505
                    102,                0.68738,                 1.0312,                 1.1648,                0.37646,                0.34037,                0.32665,                0.22031,                 1.5666,                 2.6865,                 2.0039,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.6833,                 1.0419,                  1.176,                0.37077,                0.41537,                0.34267,                0.22582,                  1.553,                 2.6614,                 1.9862,               0.004951,               0.004951,               0.004951
                    104,                0.68293,                  1.055,                 1.1702,                 0.3805,                 0.3562,                0.32561,                0.21591,                  1.562,                 2.8149,                  2.014,              0.0049015,              0.0049015,              0.0049015
